Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	set
Response To Organonitrogen Compound (GO:0010243)	23/47	0.332693814857212	0.765856269661441	0	0	1.18294606196342	1.30187080800826	ATF1;VCP;XBP1;CCDC47;RHBDD1;SEL1L;DERL1;DNAJB12;MEAK7;SYVN1;CLU;RNF5;MTOR;ERLEC1;IL6;CREB1;RNF139;RRAGC;HLCS;RCAN3;KAT7;MARCHF6;UBXN6	both
Regulation Of Gene Expression (GO:0010468)	512/1127	0.332747338098684	0.765856269661441	0	0	1.02888899804766	1.13216046084369	RB1;ATF2;RPL5;TFRC;TRRAP;SCX;RBPJ;BACH1;TSKU;RPL6;MYC;GPBP1;ADNP2;DIP2A;VPS35;HOXA5;HES6;MED1;MEF2C;MBNL1;MBNL2;DAPK3;RC3H1;RFX3;SOX11;DICER1;ATG14;HCFC2;PRKAB1;HCFC1;PRKAR1A;ZSCAN21;ATF7;ZSCAN26;ATF5;CLOCK;ATF4;MEAF6;SRCAP;ATXN7L3B;GATA3;CIAO3;HIF1A;LARP1;TERT;ZBTB7B;RREB1;CREBBP;NDFIP2;NDFIP1;TIPARP;FZD7;SNAI3;EIF2AK3;FN1;NFATC2;TRIP4;NR1D2;LARP4;PRDX6;HNRNPL;TADA2B;TADA2A;ZFAT;HNRNPF;HNRNPD;REL;SNAI1;SNAI2;EZH2;LGMN;LIN54;SETD2;BTG1;PHF20;SPIN4;OGG1;PHF1;ATF7IP2;PRKAG1;SNX12;CTCF;LITAF;SPOUT1;PQBP1;MECP2;ING4;ING5;ING2;TRIM6;ING3;FASTK;HEY2;RACK1;ANXA7;TEAD2;TCF19;ZC3H10;BRD1;IFNGR1;ACTL6A;MED26;SIRT1;MED23;RNF168;SLC7A5;GCFC2;KAT2B;TAF6L;PLSCR1;MTF2;PPARG;SF3B5;AHNAK;SRRT;RPL11;HOXD13;SPTY2D1;GCNT2;PCGF1;MBNL3;SRSF10;GSN;YTHDF2;STAT3;WWP2;WTIP;HINFP;NUDT21;RYBP;MYBBP1A;RLIM;UBAP2;HSPA1B;GZF1;LIMS1;HSPA1A;ZBTB25;NAB1;NAB2;PDCD5;ZBTB26;TNC;YEATS4;RORB;AHR;PARK7;CLU;SLC8A2;YY1;CDH3;HMGN5;RUVBL2;RUVBL1;ZFP37;FADS1;PITX3;MAP2K1;TLE1;RPS7;FBXW7;ZBTB37;CNPY2;MITF;ZBTB33;TICAM1;FOXP1;SAP30;HIC2;DMTF1;SMO;KAT6B;KAT6A;ERP29;PKP1;ADNP;NOTCH2;KMT2D;DNMT1;ENY2;MAZ;CREM;CREBL2;FOXO4;MACROH2A1;SBNO1;HNRNPDL;ATXN7;DDRGK1;DVL1;UBR5;MBIP;ABL1;DVL2;ZKSCAN5;ESRRA;DR1;BRPF1;BTN2A2;BRPF3;FUS;ZBTB12;ZBTB11;FOXN2;NFKB2;RGCC;CNOT7;MAFB;YEATS2;CDK4;CDK2;TADA3;ZFP64;MDM2;PIN1;OGT;MYD88;NFE2L2;CALCOCO1;BMPR2;CELF1;RNF14;PIK3CD;PTPN22;PIK3CB;PTBP1;RO60;SART3;SNRNP70;VPS72;DNMT3B;WDR5;HMG20B;ITGB8;EMILIN1;ERC1;UTY;METTL16;YAF2;GPX1;ACTR6;ACTR5;ATRX;SORD;MSL3;NRG1;EDF1;ACTR8;PTBP2;REXO4;MSL1;PTBP3;PTP4A3;NPC1;TRAF3;C1D;TESMIN;MCM2;HDAC4;CEBPA;PRKAA1;PRKAA2;SLC24A3;LRP1;ROCK1;ROCK2;HDAC1;PLAG1;ZBTB49;SRSF1;CXXC1;TULP3;ZBTB45;PPM1F;HDAC6;POLR2A;RBBP4;NOCT;ATXN1L;E2F1;ASCC2;IGF2BP2;RBBP7;TRIM44;RNF20;ANGPT1;ASCC1;CNBP;KLF4;HNRNPAB;MTOR;KLF1;PINK1;APP;HDAC10;JMJD1C;CRKL;RPS6KA4;SOX2;RPS6KA5;PPP2R1A;CPNE1;CCN4;KAT8;KAT7;CCNL2;LGALS9;SOX9;SOX6;ATXN7L3;SOX4;THAP1;MARF1;THAP7;EZR;MAGED1;PIK3R3;TWIST1;HNRNPLL;ZBTB2;ZNHIT1;PCBP3;PDCD10;ZNHIT3;STC2;DHX36;MIER1;PCBP2;PATZ1;EGR1;WWTR1;SETDB1;INSR;SMARCA5;RAB27A;PUM1;SMARCA2;PUM2;ZBTB6;ZZZ3;FUBP3;ID2;ATM;CALR;RBAK;CITED1;CITED2;BRCA1;SGF29;BMI1;BRCA2;LIMD1;ROBO1;HINT1;CHMP1A;MLX;HRAS;NCOA2;PRMT5;FOXD1;NOG;TFEB;PARP9;MLF1;MLF2;HNRNPH1;HNRNPH3;MAPT;CD46;TLR4;TLR3;YAP1;MYCBP;RELA;PPP2CA;PPP2CB;SERTAD3;NFIL3;METTL4;APBB2;APBB1;IL33;NFYA;SORT1;NFYB;NFYC;CAVIN4;PDCL3;PER1;TARDBP;MEGF8;WWC2;JADE1;JADE3;NR3C1;ETS1;KHSRP;SIRPA;NANOS1;OSR2;ADAM10;ATP1B1;SUPT7L;MYCN;PSPC1;MYADM;PPIE;MATR3;UBE2V1;MZF1;YTHDC1;TCF7;PSEN1;NKAPL;TAF5L;ZFP36L1;WNT6;RIPK1;DMAP1;BPTF;SMAD3;TGFB1;DENND4A;NONO;HMGA1;HMGA2;MSN;NFXL1;TDRD7;INHBA;BMP7;COQ7;SMAD5;CLK3;ESR2;CLK2;BMP2;IL6;BHLHE40;FGF18;TCF3;GRSF1;PHF19;BMPR1A;GSK3B;USP36;GSK3A;CHD7;HP1BP3;CHD6;CHD4;YBX2;YBX1;AFF3;AFF4;YBX3;AFF1;ELAVL2;FLCN;CASP8;ZC3H7A;NFKBIZ;FLOT2;KDM6A;KDM6B;TGIF2;GLRX2;OXSR1;TGFBR1;DNM2;RBL2;SFPQ;RBL1;SETBP1;RBMS3;USP13;TGFBRAP1;RNF6;ACVR1B;NR2C2;TOB2;TOB1;RNF2;AURKA;MAPK9;MAPK8;TDG;TRA2B;VHL;ATF7IP;KDM4A;TCF7L1;TAF12;EGF;TAF10;USP22;DTNBP1;ACVR2B;REST;KANSL1;KANSL2;BCL6B;CARM1;KANSL3;SPRY2;FAM98B;KRAS;FAM98A;SSBP2;FAM50A;TAF1;ZPR1	both
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	29/60	0.333628842259785	0.76755012444845	0	0	1.15478376541693	1.26763634223049	NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB4;NDUFA10;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA5;NDUFA2;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;NDUFS3;NDUFS2;NDUFS1	both
Intracellular pH Reduction (GO:0051452)	16/32	0.336375736762168	0.773194969462472	0	0	1.23430681436724	1.34480995825005	ATP6V1A;ATP6AP2;CLCN3;TPCN2;SLC4A7;DMXL1;DMXL2;ATP6V0A2;ATP6V1B2;ATP6V1H;TMEM9;ATP6V0D1;ATP6V1D;ATP6V0C;ATP6V0A1;ATP6V1F	both
Regulation Of Cholesterol Efflux (GO:0010874)	16/32	0.336375736762168	0.773194969462472	0	0	1.23430681436724	1.34480995825005	LRP1;ABCA5;CAV1;NR1H2;PTCH1;GPS2;APOA1;ABCA7;SIRT1;SREBF2;TTC39B;NFKBIA;EEPD1;PPARG;LAMTOR1;PLTP	both
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281)	40/84	0.337231317406443	0.773527952598094	0	0	1.12226268066053	1.2198840267847	ARL6IP1;PDCD6;PDCD5;XIAP;HMGB1;BCL10;GRAMD4;UACA;SH3RF1;MALT1;PPM1F;AQP1;SOX2;RPS6KA3;DNAJB6;MYC;RPS6KA1;ARL6IP5;FNIP1;CTSD;MAP2K5;MAP3K5;SNCA;BCAP31;CDKN2D;IGBP1;USP47;FIS1;EPHA7;GPX1;CSNK2A1;SIAH2;F2R;DHCR24;KLF4;SIRT1;REST;CYCS;RAF1;CD44	both
3'-UTR-mediated mRNA Destabilization (GO:0061158)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	UPF1;KHSRP;DHX36;RC3H1;PLEKHN1;TARDBP;ZFP36L2;ZFP36L1	both
Amyloid-Beta Metabolic Process (GO:0050435)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	PSENEN;APH1A;APH1B;MME;DYRK1A;PSEN2;PSEN1;APEH	both
Ceramide Catabolic Process (GO:0046514)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	ACER2;NEU3;ASAH1;GM2A;HEXB;ACER3;NEU1;GLA	both
Dendritic Spine Morphogenesis (GO:0060997)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	DLG4;PTEN;DIP2A;WASL;NOL3;PAK3;EPHB1;EPHB3	both
Digestive Tract Morphogenesis (GO:0048546)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	PDGFRA;NIPBL;ID2;SIX2;RBPMS2;SOX11;BBS7;EPHB3	both
Intracellular Sterol Transport (GO:0032366)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	GRAMD1A;STARD4;NPC1;NPC2;OSBPL2;VPS4A;OSBP;SERAC1	both
Melanosome Transport (GO:0032402)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	BBS2;BLOC1S5;BLOC1S3;MYO5A;RAB27A;BBS7;BBS5;RAB11A	both
Mitotic Chromosome Condensation (GO:0007076)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	PLK1;CHMP1A;NUSAP1;PHF13;NCAPD2;KMT5A;TENT4A;NCAPH	both
Negative Regulation Of Cation Transmembrane Transport (GO:1904063)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	CAMK2D;CAB39;BIN1;CAV1;PPIF;NEDD4L;TWIST1;COMMD1	both
Negative Regulation Of Protein Processing (GO:0010955)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	PLAU;LRRK2;CTSZ;SERPINE1;SNX12;GAS1;PLAT;CHAC1	both
Pigment Granule Transport (GO:0051904)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	BBS2;BLOC1S5;BLOC1S3;MYO5A;RAB27A;BBS7;BBS5;RAB11A	both
Positive Regulation Of Transmembrane Transport (GO:0034764)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	C2CD5;NR4A3;ARL6IP1;ACSL5;AZIN2;ANO6;AZIN1;SLC26A6	both
Regulation Of Rac Protein Signal Transduction (GO:0035020)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	KBTBD6;SH3BP1;ARHGAP17;PIK3CB;KBTBD7;OGT;ARHGAP24;ARF6	both
Regulation Of Amyloid-Beta Clearance (GO:1900221)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	LRPAP1;LRP1;ROCK1;HDAC1;IFNGR1;SRF;HMGCR;CLU	both
Regulation Of Clathrin-Dependent Endocytosis (GO:2000369)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	UNC45A;NEU3;DAB2;TNK2;BMP2K;PIK3CB;WASL;UBQLN2	both
Regulation Of Multicellular Organism Growth (GO:0040014)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	BBS2;STAT5A;GHR;STAT5B;PTCH1;PPIB;SOD1;MFSD2A	both
Retrograde Axonal Transport (GO:0008090)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	DYNC1H1;DST;FBXW11;KIF5B;MAP1A;MGARP;SOD1;PAFAH1B1	both
Stem Cell Development (GO:0048864)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	FAM172A;TCOF1;PDCD6;NOLC1;SNAI2;KLHL12;NRG1;SOX8	both
tRNA Wobble Base Modification (GO:0002097)	8/15	0.339582691411128	0.773527952598094	0	0	1.4105246346722	1.52341991399594	CTU1;URM1;ELP3;ELP4;ELP5;ELP6;ALKBH8;GTPBP3	both
Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	34/71	0.339601215676956	0.773527952598094	0	0	1.13435332406069	1.22508258369079	GSK3B;TESK1;ARL2;NEDD9;CIB1;NDNF;CX3CL1;TRIOBP;PPM1F;CRKL;CDC42;C1QBP;ENC1;ABL1;FLNA;RAC1;RSU1;JAK2;RREB1;S100A10;CARMIL1;DMTN;JUP;FN1;APOA1;CCDC80;MYADM;CALR;P4HB;ARHGEF7;CRK;DOCK1;FERMT2;LIMS1	both
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	22/45	0.340664180030524	0.775614085190394	0	0	1.18068476678691	1.27142995021765	TGFB1;SHC1;EGF;PDPK1;ERBIN;GAB1;PTPN11;CBL;PIK3C2A;EGFR;PTK2;EREG;GAREM1;KIF16B;ERBB2;GRB2;PLCG1;SOX9;SOS1;TDGF1;BCAR1;HBEGF	both
Regulation Of Neuron Death (GO:1901214)	28/58	0.341035148500461	0.776123581373729	0	0	1.1521045751634	1.23939923032339	LRRK2;ITGB2;KIF14;PARK7;CLU;EFNB2;TBK1;UBB;TRIM2;RAB29;VPS35;FYN;NAE1;MAP3K5;SNCA;EGR1;MEF2C;EGLN3;EGLN2;SIGMAR1;TRAF2;TSC1;DHCR24;CDK5;SARM1;NSMF;MAPT;EIF4G1	both
Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719)	15/30	0.345362685302498	0.784955792931065	0	0	1.23428059968673	1.31223795045876	PTEN;DAB2IP;FUZ;GATA3;IL17RD;USF3;VASN;PPP2CA;SPRED3;EFNA1;MAD2L2;SPRED2;SPRED1;SDHAF2;SPRY2	both
Positive Regulation Of Phosphate Metabolic Process (GO:0045937)	15/30	0.345362685302498	0.784955792931065	0	0	1.23428059968673	1.31223795045876	APP;ROCK1;EGF;FZD7;PTGES3;BCL10;PSEN1;BTBD10;EGFR;EREG;SDCBP;KCTD20;DHX34;ITGA6;SNCA	both
Protein Palmitoylation (GO:0018345)	15/30	0.345362685302498	0.784955792931065	0	0	1.23428059968673	1.31223795045876	ZDHHC20;ZDHHC5;ZDHHC12;ZDHHC6;ZDHHC13;ZDHHC21;SELENOK;ZDHHC1;ZDHHC2;ZDHHC3;ZDHHC14;ZDHHC4;ZDHHC15;ZDHHC9;GOLGA7	both
Response To Molecule Of Bacterial Origin (GO:0002237)	33/69	0.346730489166133	0.787447866983026	0	0	1.13154895366218	1.19854512599765	OTUD5;CITED1;HMGB2;TNFAIP3;LY96;PTPN22;AHR;TNFRSF11A;PRDX3;RPS6KA3;TRIM6;NOCT;FBXO3;LGALS9;CD14;JAK2;HNRNPA0;SNCA;FZD5;F2R;ERBIN;TIRAP;FOXP1;ADAM17;FER;IL6;MAPKAPK3;MAPKAPK2;PELI1;TAB2;TRIB1;TLR4;IFNAR1	both
Peptide Metabolic Process (GO:0006518)	27/56	0.348719360418985	0.787447866983026	0	0	1.14924243009573	1.21071288525015	MIPEP;CPM;CARNMT1;CPQ;PSEN2;AEBP1;PSEN1;APEH;PARL;CLN5;NPEPPS;NLN;IMMP2L;DNPEP;DMD;LTA4H;SEC11A;SEC11C;MME;ERAP1;LNPEP;SPCS3;SPCS2;CPD;CPE;TPP1;THOP1	both
Ephrin Receptor Signaling Pathway (GO:0048013)	21/43	0.348995183856805	0.787447866983026	0	0	1.17822029068111	1.24030914998058	EPHA7;YES1;PTPN11;PTK2;EFNB2;EFNA1;EFNB1;TIAM1;PAK1;SIPA1L1;RASA1;FYN;PAK3;ARHGEF7;EPHB1;CRK;EPHB4;EPHA3;NGEF;EPHB3;CDK5R1	both
Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260)	21/43	0.348995183856805	0.787447866983026	0	0	1.17822029068111	1.24030914998058	ATAD1;CD63;HIP1;ANGPT1;ANXA2;EGF;INSR;SERPINE1;ARRB1;ARRB2;WASL;CBL;BICD1;CLU;F3;RAB21;DAB2;HNRNPK;TBC1D5;PPT1;B2M	both
Positive Regulation Of Vasculature Development (GO:1904018)	49/104	0.349341133015499	0.787447866983026	0	0	1.09982847341338	1.15669661764773	ITGB1;BTG1;FLT1;PDCD6;SERPINE1;HSPB1;PIK3CD;EMC10;BRCA1;ETS1;HK2;AQP1;MYDGF;CYP1B1;ITGB8;EMILIN1;ANXA3;PDPK1;VASH2;GAB1;PRKCA;SIRT1;RUNX1;RHOB;STIM1;NINJ1;PRKD1;RAPGEF3;GRN;GATA6;TWIST1;HIF1A;MTDH;HMOX1;PLCG1;SASH1;PAK4;XBP1;JUP;TNFSF12;HMGA2;VEGFD;HIPK1;PDCL3;SMOC2;AGO2;FGF18;AGGF1;TEK	both
ERBB2 Signaling Pathway (GO:0038128)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	PTPRR;EGF;ERBB2;NRG1;CPNE3;EGFR;EREG	both
N-terminal Protein Amino Acid Modification (GO:0031365)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	NAA60;METAP1D;NAA10;NAA20;NAA16;NAA15;METAP1	both
Atrial Septum Development (GO:0003283)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	NOTCH2;BMPR2;HEY2;TBX20;NPHP3;MDM4;ZFPM1	both
Atrioventricular Valve Development (GO:0003171)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	BMP2;BMPR2;TBX20;MDM4;ZFPM1;TGFBR2;BMPR1A	both
Cellular Response To Arsenic-Containing Substance (GO:0071243)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	VCP;GSTO2;GSTO1;DHX36;MKNK2;PPIF;ZFAND1	both
Nucleotide-Sugar Metabolic Process (GO:0009225)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	FUT8;GALT;SLC35A3;UGP2;GMDS;ENTPD5;GFPT1	both
Positive Regulation Of Brown Fat Cell Differentiation (GO:0090336)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	TFE3;NAPEPLD;PIM1;HNRNPU;METRNL;ZBTB7B;RREB1	both
Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	TGFBR3;MEF2C;TBX20;PIM1;RBPJ;ZFPM2;BMPR1A	both
Positive Regulation Of Chromosome Separation (GO:1905820)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	PLSCR1;NUMA1;INCENP;CDCA8;BIRC5;NCAPD2;NCAPH	both
Positive Regulation Of Keratinocyte Differentiation (GO:0045618)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	MED1;NUMA1;NCOA3;NME2;TRIM16;ETV4;MACROH2A1	both
Positive Regulation Of Superoxide Anion Generation (GO:0032930)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	TGFB1;GSTP1;ITGB2;PRKCD;F2RL1;MAPT;SOD1	both
Protein Hydroxylation (GO:0018126)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	EGLN3;VPS33B;P3H2;PLOD2;VIPAS39;P3H3;PLOD1	both
Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	IL33;EDN1;SELENOS;GSTP1;NAMPT;JAK2;TLR4	both
Response To Progesterone (GO:0032570)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	YAP1;TGFB1;TGFB3;WBP2;CAV1;UBE3A;TRERF1	both
Sphingoid Biosynthetic Process (GO:0046520)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	ACER2;ASAH1;SPTLC1;SPTLC2;SPHK2;ACER3;SPTSSA	both
Sphingosine Biosynthetic Process (GO:0046512)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	ACER2;ASAH1;SPTLC1;SPTLC2;SPHK2;ACER3;SPTSSA	both
Suppression Of Viral Release By Host (GO:0044790)	7/13	0.349744529579793	0.787447866983026	0	0	1.43988002086594	1.51266927700828	TRIM8;MARCHF2;TRIM28;TRIM13;TRIM35;TRIM26;TRIM32	both
Regulation Of Protein Localization To Plasma Membrane (GO:1903076)	38/80	0.350744096432416	0.789361340370521	0	0	1.11687097721871	1.17014392624473	ITGB1;LRPAP1;LRP1;CLTC;VPS4A;ZDHHC5;CIB1;PIK3R1;ZDHHC2;ACTB;EGFR;KIF5B;PPFIA1;AP2M1;SPTBN1;APPL1;PLS1;PRKCI;TGFB1;ITGA3;PDPK1;PRKCE;STX7;RHOG;PPP2R5A;SIRT6;SORBS1;DAB2;DLG1;CDK5;NUMB;PTPN9;RANGRF;SQSTM1;EPHA3;RHOQ;ARF6;BCL2L1	both
Establishment Of Endothelial Barrier (GO:0061028)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	RAB1A;RAB1B;MSN;RAP1B;TJP1;RAP1A;RAP2B;MYADM;F2RL1;EZR;RAPGEF6;RAPGEF3;TJP3;TJP2	both
Phospholipid Catabolic Process (GO:0009395)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	GDE1;GDPD1;APOA2;PLA2G4A;PLD1;GPCPD1;PRDX6;PLD2;SMPD3;SMPD4;SMPD1;PNPLA6;SMPDL3A;PLBD2	both
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	CAMK2D;CXADR;JUP;CAV1;ATP2A2;CACNA1C;DLG1;PKP2;RANGRF;CTNNA3;CALM3;CALM1;TRPM4;HCN1	both
Regulation Of Chromosome Segregation (GO:0051983)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	CDCA2;NUMA1;CSNK2A1;CSNK2A2;SMC5;CDC6;MKI67;PUM1;NCAPH;PUM2;KIF2C;NCAPD2;BUB1;RAD18	both
Sterol Biosynthetic Process (GO:0016126)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	INSIG2;INSIG1;PRKAG2;MSMO1;DHCR24;HMGCR;HSD17B7;LSS;ACLY;SQLE;GLB1;MVD;LBR;FDFT1	both
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010)	14/28	0.354893602569257	0.796659840931328	0	0	1.23425439087146	1.27861009392761	FLT1;PDCD6;DAB2IP;HSPB1;VEGFD;SULF1;PTK2;VAV2;MAPKAPK3;MAPKAPK2;FYN;PRKD1;PAK2;BCAR1	both
Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)	26/54	0.356700723560361	0.797710567083225	0	0	1.14617772728	1.18154666083924	HSPB1;HMGB1;ETS1;HIF1A;MECP2;SH3BP1;TMSB4X;PLCG1;STAT5A;MEF2C;TGFB1;ANGPT1;JUP;PDPK1;NRG1;PRKCA;SIRT1;ADAM17;P2RX4;RGCC;CSNK2B;FGF18;NF1;PPARG;PRKD1;FGFR1	both
Carbohydrate Catabolic Process (GO:0016052)	20/41	0.357719676064334	0.797710567083225	0	0	1.17552360695762	1.20844488269553	PFKFB2;PFKFB1;TPI1;PGAM1;NAGA;ENO1;ENO4;HK2;HK1;DERA;NEU3;PFKL;PKM;NEU1;PGK1;MAN2C1;CTBS;GAPDH;PFKM;PGM1	both
Negative Regulation Of DNA Recombination (GO:0045910)	20/41	0.357719676064334	0.797710567083225	0	0	1.17552360695762	1.20844488269553	ZRANB3;POLQ;BLM;RTEL1;PARP3;PARPBP;FBH1;KLHL15;MAGEF1;SENP3;MAD2L2;MSH6;INSL6;HELB;SMCHD1;KAT5;MSH2;SHLD2;SHLD1;KMT5A	both
Positive Regulation Of Response To Biotic Stimulus (GO:0002833)	20/41	0.357719676064334	0.797710567083225	0	0	1.17552360695762	1.20844488269553	AKIRIN2;GRN;DHX9;RIOK3;LY96;PRKCA;IFI35;TIRAP;EREG;PLSCR1;MYO1C;POLR3B;POLR3C;POLR3D;POLR3G;EMILIN1;FADD;SLC15A4;SASH1;TRIM56	both
Golgi To Lysosome Transport (GO:0090160)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	GAK;CCDC91;LAMP1;AP1G1;SORT1;RBSN	both
Cell Part Morphogenesis (GO:0032990)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	FIS1;PNPT1;PACSIN2;DNM1L;MFF;MTM1	both
Cellular Response To Thyroid Hormone Stimulus (GO:0097067)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	MED1;THRB;CTSL;KLF9;GAS2L1;CTSB	both
Glutamine Family Amino Acid Biosynthetic Process (GO:0009084)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	GLS2;PYCR1;PYCR2;ALDH18A1;ASS1;GLS	both
Intracellular Copper Ion Homeostasis (GO:0006878)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	ANKRD9;APP;COX19;ARF1;ATP7B;ATP7A	both
Isotype Switching (GO:0045190)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	MSH6;RNF168;EXOSC6;MSH2;LIG4;HSPD1	both
Negative Regulation Of Amyloid Fibril Formation (GO:1905907)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	VBP1;PFDN4;CLU;CRYAB;LDLR;PFDN6	both
Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	SEMA6A;DAB2IP;SORD;SPRY2;NRG1;PIK3CB	both
Negative Regulation Of Myotube Differentiation (GO:0010832)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	HDAC4;XBP1;HDAC3;HDAC1;BHLHE41;CCN3	both
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	EDN1;HSP90AB1;TGFB1;CLTC;AP2A1;LDLR	both
Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	FKBP1A;GSTO1;FKBP1B;CALM3;SRI;CALM2	both
Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	FKBP1A;GSTO1;FKBP1B;CALM3;SRI;CALM2	both
Nucleoside Phosphate Biosynthetic Process (GO:1901293)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	PNP;NMNAT1;NME2;AK4;NMNAT3;DCK	both
Positive Regulation Of Coagulation (GO:0050820)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	DMTN;F2R;SERPINE1;EMILIN1;ENPP4;HPSE	both
Positive Regulation Of Hemostasis (GO:1900048)	6/11	0.360807832826378	0.797710567083225	0	0	1.48098804068403	1.50973369484207	DMTN;F2R;SERPINE1;EMILIN1;ENPP4;HPSE	both
