set	gene
cl0_only	Tmem128
cl0_only	Wdr1
cl0_only	Zfp518b
cl0_only	Gm3414
cl0_only	Adgra3
cl0_only	Cckar
cl0_only	Arap2
cl0_only	5830416I19Rik
cl0_only	Fam114a1
cl0_only	N4bp2
cl0_only	Dcun1d4
cl0_only	Lnx1
cl0_only	Tmem165
cl0_only	Hopx
cl0_only	Adgrl3
cl0_only	Cenpc1
cl0_only	Grsf1
cl0_only	Slc4a4
cl0_only	Odaph
cl0_only	Scarb2
cl0_only	Prkg2
cl0_only	Abraxas1
cl0_only	Spp1
cl0_only	Pkd2
cl0_only	Lrrc8d
cl0_only	Crlf2
cl0_only	Pgam5
cl0_only	Fbrsl1
cl0_only	A630023P12Rik
cl0_only	Noc4l
cl0_only	Pus1
cl0_only	Tfip11
cl0_only	2900026A02Rik
cl0_only	Sgsm1
cl0_only	Tmem119
cl0_only	Trpv4
cl0_only	Mir7028
cl0_only	Srrm4os
cl0_only	Fbxo21
cl0_only	Plbd2
cl0_only	Hectd4
cl0_only	Acad10
cl0_only	Atxn2
cl0_only	Pheta1
cl0_only	Anapc7
cl0_only	Orai1
cl0_only	Vps33a
cl0_only	Hip1r
cl0_only	Rilpl2
cl0_only	Rilpl1
cl0_only	Ncor2
cl0_only	Phkg1
cl0_only	Tmem248
cl0_only	Gtf2ird1
cl0_only	Clip2
cl0_only	Vps37d
cl0_only	Lrwd1
cl0_only	Orai2
cl0_only	Cux1
cl0_only	Ift22
cl0_only	Mir8116
cl0_only	Mcm7
cl0_only	Gal3st4
cl0_only	Pdgfa
cl0_only	Foxk1
cl0_only	Wipi2
cl0_only	Fscn1
cl0_only	Bri3
cl0_only	Nptx2
cl0_only	Smurf1
cl0_only	Pan3
cl0_only	5930430L01Rik
cl0_only	Medag
cl0_only	B3glct
cl0_only	Fry
cl0_only	Stard13
cl0_only	Gm4876
cl0_only	Wasl
cl0_only	Flnc
cl0_only	Mir29a
cl0_only	Fam180a
cl0_only	Luc7l2
cl0_only	Mkrn1
cl0_only	Braf
cl0_only	Try5
cl0_only	Ephb6
cl0_only	Tas2r126
cl0_only	Arhgef5
cl0_only	Gimap8
cl0_only	Osbpl3
cl0_only	5730596B20Rik
cl0_only	Hoxa13
cl0_only	Herc3
cl0_only	E230016M11Rik
cl0_only	Usp39
cl0_only	Vamp8
cl0_only	Capg
cl0_only	Dnah6
cl0_only	Hk2
cl0_only	M1ap
cl0_only	Dok1
cl0_only	Pcgf1
cl0_only	Tet3
cl0_only	Gm10445
cl0_only	Exoc6b
cl0_only	4930553P18Rik
cl0_only	Gmcl1
cl0_only	Txnrd3
cl0_only	Nr2c2
cl0_only	Kbtbd8os
cl0_only	Frmd4b
cl0_only	Shq1
cl0_only	Lmcd1
cl0_only	Rad18
cl0_only	Camk1
cl0_only	Atg7
