gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fli1,0.715412411737848,-0.0587103910023479,0.101,0.09,1
Lekr1,0.715467249114081,0.06540235213558,0.289,0.198,1
Gja4,0.715475140601247,0.293457942953379,0.013,0.01,1
Gm10369,0.715535931246268,0.545352611417989,0.031,0.012,1
Rhox11,0.715667043517479,-0.0669230500251858,0.019,0.018,1
Ctsb,0.715715410163003,0.941344883015589,0.025,0.019,1
Smim20,0.715821678562066,-0.177850409687706,0.038,0.036,1
Myh3,0.715844057408375,0.220913017598555,0.038,0.034,1
Oas1e,0.715856117103789,0.922253267660691,0.025,0.01,1
Med10,0.715890085677094,0.19404129044454,0.031,0.029,1
Olfr250,0.715955097111644,0.942718934136283,0.013,0.007,1
2310022A10Rik,0.716001501981665,0.295395196044993,0.082,0.045,1
Lrch3,0.716022666011233,0.148379494860733,0.057,0.045,1
Aire,0.716093909117162,0.392642399291774,0.019,0.015,1
Wisp1,0.716107819425664,0.146429230338532,0.107,0.063,1
Cdkl3,0.716149091670739,0.305700586675802,0.113,0.073,1
Tmem9,0.716179217238737,0.0723306446790311,0.044,0.034,1
Mill1,0.716185628133814,0.15726002679302,0.006,0.01,1
Igfbp5,0.716466160135353,0.822737568117255,0.031,0.019,1
Fam49b,0.716524401733079,0.224924183545706,0.17,0.114,1
Nanos1,0.716524863992626,0.937992768170846,0.019,0.013,1
Usp33,0.716753236127032,0.350728083438693,0.069,0.048,1
Suz12,0.716771934003203,0.353625314092622,0.057,0.032,1
Fam101b,0.716816492072993,0.524976706145429,0.019,0.016,1
Fgf6,0.716981706552509,0.434993453659435,0.025,0.02,1
Gpi1,0.717045836220153,0.0511802458021018,0.044,0.029,1
Shb,0.717065418745944,-0.0204769993933898,0.107,0.081,1
Rassf7,0.717137142499175,1.02027338176589,0.013,0.012,1
Fam50b,0.717170789925889,0.680049404292075,0.013,0.013,1
Adamts5,0.717223454360514,-0.184417010169669,0.101,0.083,1
Ccdc59,0.717292092569172,0.409207645939544,0.057,0.035,1
Gmeb2,0.717328087978153,0.130688584041101,0.069,0.051,1
B3gnt5,0.717333352351163,0.731113185250565,0.031,0.021,1
Dpy19l4,0.717474850231987,0.00823420801758124,0.113,0.084,1
