p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.523914881566484e-43	-1.063631406755058	0.374	0.639	1.4048565273216558e-38	OEC	Gprc5b
7.84455175367698e-43	-0.5206588897299422	0.887	0.964	2.436047101586849e-38	OEC	Rsrp1
1.6743597457133744e-42	1.1063674876722518	0.714	0.554	5.199556754338313e-38	OEC	Cdip1
2.1828534698175626e-42	1.3102881596385056	0.654	0.48	6.778633165171458e-38	OEC	Dnajc1
2.525597117008156e-42	-1.0402308752786693	0.48	0.751	7.842989287157128e-38	OEC	Adk
3.808800755062796e-42	0.6612735024935192	0.962	0.93	1.1827849864772007e-37	OEC	Rps29
4.2731486930372645e-42	0.5415487213039375	0.675	0.329	1.3269835951357922e-37	OEC	Lpar1
5.5920437884980235e-42	-1.5558826588571666	0.288	0.568	1.7365532780801762e-37	OEC	Nat8f1
1.3194992681825578e-41	0.7041054697615059	0.907	0.756	4.097573027414115e-37	OEC	Rplp0
1.602492996222855e-41	1.053184947490787	0.566	0.31	4.9763817504704536e-37	OEC	H2-D1
1.985444026119035e-41	-1.4711345093474708	0.352	0.599	6.165597878710051e-37	OEC	Vegfa
2.99575237853714e-41	-1.275128920468243	0.382	0.64	9.303009436309234e-37	OEC	Tsc22d3
3.2127817077395366e-41	-0.6895508613366861	0.997	0.98	9.976972315214357e-37	OEC	Plp1
3.2214005702751737e-41	1.371553075527093	0.619	0.381	1.0003737330932525e-36	OEC	B2m
3.9479055140891314e-41	-1.6326781571205156	0.228	0.505	1.2259825783452388e-36	OEC	Npas3
6.669090368031301e-41	-0.7485687823786595	0.708	0.884	2.0710193228884404e-36	OEC	Fermt2
6.683287765729417e-41	1.2368984466210666	0.601	0.376	2.0754281827696133e-36	OEC	Rasa2
1.0879353049129593e-40	1.2409715383770752	0.616	0.406	3.378474295876704e-36	OEC	Stard3nl
1.2723263885689193e-40	-1.1282023810490414	0.371	0.66	3.951082367061922e-36	OEC	Pcdh10
1.8893752960704606e-40	-0.8345991055462502	0.45	0.727	5.867266044417208e-36	OEC	Cycs
1.9532276756119565e-40	-0.8986331789541078	0.525	0.785	6.06555322384537e-36	OEC	Aplp1
5.265841903637063e-40	-1.6134316037110656	0.398	0.623	1.6352545447554536e-35	OEC	Dclk1
1.105089811232356e-39	-0.9492587730130839	0.461	0.728	3.4317458998009583e-35	OEC	Aco2
4.9322832706763394e-39	-1.1017830746375772	0.443	0.678	1.5316712468758305e-34	OEC	Pcdh9
1.2169999118805784e-38	1.3000253758733504	0.612	0.439	3.779271526353948e-34	OEC	Hsdl2
1.7801200992436318e-38	-0.6373974898545862	0.961	0.952	5.527984956191174e-34	OEC	Qk
4.617890454850093e-38	1.0443180704819868	0.649	0.414	1.4340397018491477e-33	OEC	Camk2d
7.314788441208949e-38	-1.1198200999686418	0.278	0.559	2.271534402533027e-33	OEC	Gpr37
7.379323636914062e-38	-1.1053327881212465	0.302	0.582	2.2915751622072925e-33	OEC	Bicd2
1.1262078258753519e-37	0.9674351368826131	0.695	0.485	3.497325782473318e-33	OEC	Nr2f1
3.1484657685688515e-37	-0.7724533409638956	0.634	0.819	9.777245597713712e-33	OEC	Mid1ip1
4.67582237250735e-37	-0.8937636396568551	0.291	0.572	1.4520298795584325e-32	OEC	Kif1a
1.0919470097149275e-36	-0.685726829438919	0.503	0.734	3.3909322439687357e-32	OEC	Ppp3ca
1.6585708423671805e-36	-1.5439585451570272	0.472	0.624	5.150525893887042e-32	OEC	Id2
1.6844178569852306e-36	-0.9238040608956469	0.623	0.817	5.230791213081936e-32	OEC	Klf9
5.993479427927744e-36	0.4174528895673211	0.958	0.891	1.8612151015486816e-31	OEC	Rpl13
1.6290208281418277e-35	-1.4993363934426136	0.362	0.562	5.0587612797116315e-31	OEC	Paqr7
2.055493135657507e-35	-0.781821144694898	0.461	0.693	6.383128383470822e-31	OEC	Nfix
3.5206006316708657e-35	1.0050866257551607	0.582	0.351	1.0932873201590705e-30	OEC	Cpne2
5.760199849007046e-35	-0.9256325678264831	0.601	0.758	1.788772461110648e-30	OEC	Hepacam
1.2884877914067336e-34	0.8058880970944128	0.774	0.623	4.0012699874344704e-30	OEC	Sys1
1.631705863645068e-34	0.5970496061879598	0.871	0.814	5.067099388963394e-30	OEC	Spcs2
1.8000524301246125e-34	0.7618242458376124	0.797	0.675	5.5898828165089714e-30	OEC	Scp2
2.8925570205841177e-34	-0.8431656227337361	0.434	0.674	8.982546571721918e-30	OEC	Atp2c1
3.571207158878753e-34	0.5744138515546255	0.912	0.778	1.109002671118208e-29	OEC	Rps20
6.628862896385176e-34	0.8299950374010054	0.764	0.596	2.0585270838434525e-29	OEC	Smpdl3a
6.807061719327143e-34	-1.5262978438150832	0.332	0.534	2.1138649463198508e-29	OEC	Prex2
9.852618894713007e-34	-0.8521996866422261	0.414	0.67	3.059632271564177e-29	OEC	Ctsf
1.459329942466165e-33	1.0115677488810786	0.527	0.292	4.531803203334429e-29	OEC	Hs3st1
1.4985133492681911e-33	0.5515718195157211	0.931	0.836	4.6534833548174405e-29	OEC	Rps10
1.6715915342568576e-33	0.5526952962852385	0.91	0.788	5.190960350481245e-29	OEC	Rpl39
2.211396265135897e-33	0.6087675372762447	0.852	0.79	6.867269961753015e-29	OEC	Dad1
2.789111996661127e-33	-1.33161702362196	0.362	0.569	8.661308394431464e-29	OEC	Gstm1
