original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
2212,43.1043909724603,37.7453622548931,1626.99085203206,4850,4019,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2213,45.0573034726136,51.3998406085562,2315.93821674369,8522,2967,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2214,21.6179036824547,41.6381171001262,900.1288049893,624,5975,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2215,20.1930717376677,16.8467825190757,340.188287956582,6873,8197,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2216,18.3630850006427,44.5028647354671,817.209887909487,355,6251,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2217,52.5847455982755,48.9798407700004,2575.59246633451,8552,2659,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2218,30.1370446268717,13.7463371912638,414.273977389145,9140,7850,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2219,54.3465356337121,141.658323394057,7698.63912014704,4968,638,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2220,35.3290006744451,39.0181694414424,1378.47293451233,4321,4602,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2221,22.8973572574861,20.4195212434839,467.553072938878,6299,7635,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2222,30.0009319811936,15.3159627083426,459.493155439484,8813,7656,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2223,1.66646304209734,11.9108658382374,19.8490177188023,7707,9233,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2224,19.8431162106172,13.6349246702121,270.559394754031,2831,8475,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2225,5.87168636918068,42.8512160579364,251.608901230201,7699,8544,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2226,59.2368814437116,15.2528416758678,903.530774033084,6414,5962,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2227,20.4595682735749,80.1800482030858,1640.44917038956,5892,3983,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2228,18.8421342199333,27.1435028090788,511.441523127798,4550,7457,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2229,16.1718743495452,47.779285528721,772.680602081519,1750,6421,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2230,5.54805969204423,73.9585615079079,410.326513983597,6388,7872,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2231,15.4378657375629,62.3095192790526,961.925992802098,9212,5763,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2232,22.6224885595088,25.5081241568741,577.057246913414,2717,7180,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2233,37.7175206100592,20.0028038902762,754.456167990462,8624,6500,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2234,16.3750357485832,37.8701174472241,620.124527001339,398,7013,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2235,48.9960107062479,108.98627075088,5339.89248854414,8563,1107,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2236,40.4083410092429,60.196308647885,2432.43296734137,4831,2825,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2237,50.323161058172,44.3449502160563,2231.57807183922,1136,3070,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2238,43.1041353072002,31.2653969338525,1347.6678998701,2637,4677,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2239,30.9449368349482,36.4841170431475,1128.99869737905,7308,5280,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2240,54.8599461054398,29.7707659834522,1633.22261736985,8832,4002,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2241,19.9038119475401,18.2558691050268,363.361385605361,8518,8099,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2242,26.8294015771418,30.4049368296097,815.746260129225,6007,6255,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2243,22.3287011008849,43.9152991860946,980.57158928224,8909,5707,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2244,44.6021439629265,124.735251257691,5563.45963384735,5512,1048,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2245,37.0456775077959,32.6273549572239,1208.7024696777,3669,5056,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2246,26.4318078251628,73.3005257309257,1937.46540960323,3035,3449,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2247,25.4968650846095,50.4523928989874,1286.37785494119,8054,4826,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2248,43.3839339058051,132.586593536848,5752.12801079848,5438,994,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2249,58.2210176269794,131.93629501956,7681.46535797215,23,640,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2250,102.358760410861,102.105978012085,10451.4413398556,1854,386,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2251,52.8139026293191,113.06101282694,5971.19332261421,5702,940,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2252,35.5496561568359,59.5762345281141,2117.91465259347,8037,3213,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2253,83.5578971573069,96.6904930102674,8079.25427104123,1225,591,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2254,34.9605720419279,54.2754036728765,1897.49916021032,6535,3533,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2255,60.3850468826294,22.070507941246,1332.72865675559,2426,4715,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2256,26.5714907312393,113.415682080587,3013.6237451815,5314,2257,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2257,18.2537834217519,28.1275009834227,513.433311146511,2256,7451,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2258,12.4233799799165,31.7252293222749,394.134578820609,5838,7948,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2259,18.551248318487,52.9174080241181,981.68397662611,6937,5702,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2260,19.8252342953809,60.7557681547816,1204.49733846439,2404,5064,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2261,33.1275140592524,95.4157934939145,3160.88804044438,5757,2144,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2262,39.2887959459821,131.366939231562,5161.24886951705,987,1150,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2263,15.3570149612427,11.6080123615265,178.264419506252,9022,8835,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2264,12.400696624963,62.7783626717881,778.495430104749,4247,6386,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2265,13.1920365271745,29.7931410648205,393.032205186374,6345,7953,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2266,14.5767901646464,39.3364727321424,573.399508833773,3266,7190,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2267,8.66830857714316,31.6383936315551,274.25135888344,659,8461,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2268,11.8467326239378,13.8083793455813,163.584178077006,845,8891,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2269,18.9394964052882,44.5253291801425,843.287311951583,904,6174,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2270,11.170638925104,99.5640072822571,1112.19357528652,8643,5331,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2271,30.6162064351192,28.6944710154112,878.515848154373,5718,6055,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2272,25.7491986149939,65.531802618615,1687.3914012253,5496,3906,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2273,8.51197409389803,51.0490195991209,434.52793234661,5941,7760,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2274,32.6172466413423,48.739067079719,1589.73417200812,8520,4092,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2275,1.60702132356578,10.7969163697341,17.3508748349192,7718,9238,9273,9273,9273,9273,9273,9273,TRUE,TRUE
