gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000034402.3	Kcnh5	0	0	0.107467	0.146566	0.053503
ENSMUSG00000034403.16	Pja1	20.245665	17.075535	34.512641	33.051463	30.425167
ENSMUSG00000034412.13	Tbc1d10a	17.638085	20.646704	36.437655	30.028218	34.010582
ENSMUSG00000034413.14	Neurl1b	0.493628	0.451059	0.041014	0.111794	0.080587
ENSMUSG00000034416.18	Pkd1l2	0.027004	0.214967	0	0	0
ENSMUSG00000034422.14	Parp14	1.6433	2.130211	0.486609	1.016751	0.544729
ENSMUSG00000034424.5	Gcsh	149.538778	138.336612	45.674211	48.970164	45.244986
ENSMUSG00000034427.17	Myo15b	1.70621	3.64498	0	0	0
ENSMUSG00000034429.15	Zfp707	5.749967	7.570368	3.691592	3.880483	3.976479
ENSMUSG00000034430.16	Zxdc	9.882389	10.345663	45.694227	40.623083	44.803984
ENSMUSG00000034432.11	Cops8	86.658057	84.972441	100.559095	90.573554	99.772046
ENSMUSG00000034435.6	Tmem30b	2.254765	1.659268	0	0	0
ENSMUSG00000034437.8	Gm9761	0	0	0	0	0.300913
ENSMUSG00000034438.16	Gbp8	0.106713	0.259062	0.035735	0	0.024902
ENSMUSG00000034442.11	Trmt5	30.140304	28.058157	11.190762	10.097616	9.631818
ENSMUSG00000034445.8	Cyb561a3	9.745972	7.705491	19.090049	13.535612	15.946823
ENSMUSG00000034449.7	Dhrs11	6.294139	4.079273	10.152857	10.840565	9.645403
ENSMUSG00000034450.8	Gulo	2.401613	3.720063	0	0	0
ENSMUSG00000034452.7	Slc24a1	1.452513	1.245637	0.040176	0.141927	0.093295
ENSMUSG00000034453.8	Polr3b	29.943326	36.288284	9.540238	10.736708	10.149177
ENSMUSG00000034456.15	Uroc1	0	0	0.058198	0.121163	0.079307
ENSMUSG00000034457.10	Eda2r	44.920398	48.436331	2.547348	2.951332	2.933619
ENSMUSG00000034459.8	Ifit1	0	0.378293	0.499152	0.524185	0.481378
ENSMUSG00000034460.9	Six4	8.962772	11.519857	3.749233	4.597388	5.239922
ENSMUSG00000034462.9	Pkd2	9.393723	11.770862	53.173651	53.820765	82.522593
ENSMUSG00000034463.4	Scara3	0	0.043432	11.263847	13.423608	17.316274
ENSMUSG00000034467.7	Dynlrb2	0	0	0	0	0
ENSMUSG00000034471.12	Caskin2	2.455783	2.620614	9.458987	8.136851	8.675708
ENSMUSG00000034472.13	Rasd2	2.017105	2.127678	0	0	0
ENSMUSG00000034473.14	Sec22a	17.286765	15.81472	10.294338	5.708063	7.666448
ENSMUSG00000034480.18	Diaph2	6.50898	6.934032	5.167011	6.279455	8.189332
ENSMUSG00000034482.2	Ly6g5c	0.907722	0.558637	0	0	0
ENSMUSG00000034484.8	Snx2	114.458227	119.291862	63.853476	68.275764	68.579975
ENSMUSG00000034485.10	Uaca	8.637409	8.847456	39.913386	41.376736	57.309046
ENSMUSG00000034486.8	Gbx2	16.278728	17.784857	0	0	0
ENSMUSG00000034487.4	Poglut3	2.379134	2.454568	15.109051	15.806201	18.315057
ENSMUSG00000034488.14	Edil3	0.106563	0	18.012911	21.742586	24.950719
ENSMUSG00000034493.1	4930556J24Rik	0	0	0	0.05863	0
ENSMUSG00000034501.7	Pcnx4	5.71854	6.744073	6.878565	7.365662	7.533565
ENSMUSG00000034509.9	Mad2l1bp	11.664338	11.201126	14.769545	16.529242	16.819838
ENSMUSG00000034518.14	Hmgxb4	71.084534	87.380242	10.628767	15.056592	8.946648
ENSMUSG00000034520.14	Gjc1	47.906164	50.872199	42.270496	49.490202	54.462122
ENSMUSG00000034522.10	Zfp395	12.126221	12.790398	7.436868	5.537411	6.298264
